valid_time,latitude,longitude,tp
01-05-2024,19.05,72.8,0
01-05-2024,18.8,72.8,0
02-05-2024,19.05,72.8,0
02-05-2024,18.8,72.8,0
03-05-2024,19.05,72.8,0
03-05-2024,18.8,72.8,0
04-05-2024,19.05,72.8,1.04E-06
04-05-2024,18.8,72.8,1.17E-06
05-05-2024,19.05,72.8,0
05-05-2024,18.8,72.8,3.97E-09
06-05-2024,19.05,72.8,6.28E-07
06-05-2024,18.8,72.8,1.13E-06
07-05-2024,19.05,72.8,3.02E-07
07-05-2024,18.8,72.8,6.72E-07
08-05-2024,19.05,72.8,1.45E-06
08-05-2024,18.8,72.8,7.91E-07
09-05-2024,19.05,72.8,2.43E-06
09-05-2024,18.8,72.8,2.87E-06
10-05-2024,19.05,72.8,5.21E-07
10-05-2024,18.8,72.8,4.97E-07
11-05-2024,19.05,72.8,7.94E-08
11-05-2024,18.8,72.8,5.56E-08
12-05-2024,19.05,72.8,1.76E-05
12-05-2024,18.8,72.8,8.72E-06
13-05-2024,19.05,72.8,7.88E-06
13-05-2024,18.8,72.8,4.84E-05
14-05-2024,19.05,72.8,7.72E-06
14-05-2024,18.8,72.8,4.49E-06
15-05-2024,19.05,72.8,0
15-05-2024,18.8,72.8,0
16-05-2024,19.05,72.8,1.86E-06
16-05-2024,18.8,72.8,5.84E-07
17-05-2024,19.05,72.8,0
17-05-2024,18.8,72.8,6.32E-07
18-05-2024,19.05,72.8,1.36E-06
18-05-2024,18.8,72.8,2.36E-06
19-05-2024,19.05,72.8,0
19-05-2024,18.8,72.8,2.38E-08
20-05-2024,19.05,72.8,0
20-05-2024,18.8,72.8,0
21-05-2024,19.05,72.8,0
21-05-2024,18.8,72.8,0
22-05-2024,19.05,72.8,1.34E-06
22-05-2024,18.8,72.8,1.75E-06
23-05-2024,19.05,72.8,1.59E-08
23-05-2024,18.8,72.8,1.51E-07
24-05-2024,19.05,72.8,1.10E-06
24-05-2024,18.8,72.8,2.01E-06
25-05-2024,19.05,72.8,1.99E-05
25-05-2024,18.8,72.8,2.29E-05
26-05-2024,19.05,72.8,2.52E-05
26-05-2024,18.8,72.8,3.37E-05
27-05-2024,19.05,72.8,2.22E-05
27-05-2024,18.8,72.8,3.72E-05
28-05-2024,19.05,72.8,1.69E-05
28-05-2024,18.8,72.8,2.46E-05
29-05-2024,19.05,72.8,7.18E-06
29-05-2024,18.8,72.8,9.41E-06
30-05-2024,19.05,72.8,1.59E-05
30-05-2024,18.8,72.8,1.78E-05
31-05-2024,19.05,72.8,8.50E-05
31-05-2024,18.8,72.8,9.50E-05
